titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,boite_vitesse,carburant,url_page,categorie
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",80000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",80000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",80000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 5008 2019,Peugeot,2019,5008,4 000 000FCFA,4000000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",76000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",76000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",76000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",76000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Fusion 2016,Ford,2016,Fusion,3 000 000FCFA,3000000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",200000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",200000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",200000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",200000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Focus 2013,Ford,2013,Focus,1 900 000FCFA,1900000,"Passée, il y a 6 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",87000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",87000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",87000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",87000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Talisman 2017,Renault,2017,Talisman,8 500 000FCFA,8500000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",20000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",20000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",20000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",20000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sportage 2019,Kia,2019,Sportage,6 000 000FCFA,6000000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",221000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",221000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",221000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",221000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 308 2015,Peugeot,2015,308,3 000 000FCFA,3000000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Santa Fe 2015,Hyundai,2015,Santa Fe,3 000 000FCFA,3000000,"Passée, il y a 14 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
