titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,url_page,categorie
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",32000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",32000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",32000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2018,Honda,2018,SH,1 350 000FCFA,1350000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",50000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",50000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",50000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",50000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Majesty 2006,Yamaha,2006,Majesty,300 000FCFA,300000,"Passée, il y a 5 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",14000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",14000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",14000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",14000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2020,Yamaha,2020,TMax,3 900 000FCFA,3900000,"Passée, il y a 1 année",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",10000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",10000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",10000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",10000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2020,Yamaha,2020,X-Max,1 200 000FCFA,1200000,"Passée, il y a 1 année",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
